ERR4082432	ONT	115	EPI_ISL_425449
ERR4246852	ONT	285	EPI_ISL_457212
ERR4366428	ONT	13	EPI_ISL_493559
ERR4437884	ILL	2200	EPI_ISL_489377
ERR4438180	ILL	367	EPI_ISL_488906
ERR4439830	ILL	17	EPI_ISL_499533
ERR4584869	ILL	1600	EPI_ISL_532794
ERR4615778	ILL	847	EPI_ISL_539900
ERR4651735	ILL	430	EPI_ISL_567575
ERR4668432	ILL	483	EPI_ISL_575675
ERR4759202	ILL	105	EPI_ISL_595464
ERR4848290	ILL	509	EPI_ISL_643640
ERR4860691	ILL	401	EPI_ISL_646554
ERR4973704	ILL	467	EPI_ISL_655669
ERR5011401	ILL	838	EPI_ISL_710801
ERR5026409	ILL	62	EPI_ISL_730750
ERR5040238	ILL	725	EPI_ISL_756390
ERR5041219	ILL	815	EPI_ISL_762499
ERR5042239	ILL	983	EPI_ISL_760883
ERR5042696	ILL	1000	EPI_ISL_760798
ERR5049949	ILL	804	EPI_ISL_767261
ERR5052852	ILL	457	EPI_ISL_769604
ERR5053597	ILL	366	EPI_ISL_768932
ERR5074602	ONT	27	EPI_ISL_764231
ERR5074718	ILL	123	EPI_ISL_706608
ERR5082229	ONT	136	EPI_ISL_680109
ERR5093255	ILL	226	EPI_ISL_819798
ERR5174710	ILL	753	EPI_ISL_858801
ERR5176822	ILL	459	EPI_ISL_797195
ERR5178844	ILL	141	EPI_ISL_812064
ERR5179824	ILL	631	EPI_ISL_821134
ERR5181246	ILL	564	EPI_ISL_836880
ERR5181360	ILL	633	EPI_ISL_836839
ERR5183522	ILL	726	EPI_ISL_846539
ERR5184915	ILL	854	EPI_ISL_833702
ERR5189961	ILL	707	EPI_ISL_862989
ERR5190001	ILL	89	EPI_ISL_863189
SRR11494747	ILL	186	EPI_ISL_419918
SRR13261896	ILL	10	EPI_ISL_708631
SRR13530301	ILL	58	EPI_ISL_873257
SRR13606385	ILL	55	EPI_ISL_903433
